id,name
0pie1VYEnERArCasEIR7,Dragonbowl Main -9. Beef Shank (龍肴秘制牛腱子) 1300 ML only 
0yzNipxhY0heTMAsi8m2,R4 Tom Yum Fried Rice with Prawns
1mlvwFuC519gzOaGezHc,Sprite
2T9nRWvvBZ887BtczM5i,Dragonbowl Drink -3. Lemon black tea (柠檬红茶)
3FTaHAsb5qigSjVwkc55,Plum Spring Roll Sauce
53uVjVFxn17fbM7VPq4l,L3. Pad Prink Khing
6y7I7BWB5p9wxbsiRe18,A4. Skewers Chicken Satay
75F48UVMr9gQfwLmFoyx,29. Black Pepper Garlic Prawns
8iChvoeduCQ3RmO3sV2o,Call us If you have any questions
8k7QwC0mZa8yPtADuYRB,A1. Crispy Wontons
9EfCXy52e2CYZEgQtZe6,A2. Spring Rolls
A5RS27tGC4KfOscIaJsg,22. Cashew Stir Fry
Ayq0hBXf9epvWXplTlLx,L2. Pad Si Ew*
B0hxInitImDIb0qseHtN,L8. Fresh Vegetable Stir Fry in Curry
CP5k4SOoqmhOBpy96Yoh, L5G. Green Curry with Eggplants and Basil Leaves
ClzxoA528a7SNhbooE2t,11. Tom Ka Gai
DCk2kD28u3gIYrbc7J5E,Natural Coconut Water
Dct5yHJUfWgBoOJuWdFm,Dragonbowl Side -8. Woodear mushroom/酱拌特级云耳
DrbVyDLDXzViLKDYTD4y,10. Cabbage / 怪味台湾高丽菜
EPFIdosnEIda6dcZFKdY,Pork tenderloin (本地嫩猪里脊)
EZ6YeR3tw9dYhnwhhaWG,Dragonbowl BOGO -Black tea 原味红茶 
EqYUeee56KrewKr8n3fc,Combo for 2
FW4mshAG1W6HJ33eoXxU,Diet Coke
GIrpbALwZtCNvQCymWhM,19. Pad Kee Mao
GRAB7xMlkYUt9Ns6twah,1. Shredded Potatoes / 烧烤摊凉拌土豆丝
GWK8DNstQv9UfXmGG19f,DragonBowl -Two person Alberta beef slice combo (雪花牛套餐)
HmCrO1SPZ3BbU7mzW68x,Alberta beef slice (阿尔伯塔雪花牛肉片)
IGKeXjDHBm0bNK1vb9pi,L6. Ginger Stir Fry
Iak4HDvKMRYhM91I1QL2,A5. Crispy Prawn Wonton
J1ULYKcq9LpxVbCydiPC,Dragonbowl Drink -5. Lychee black tea (荔枝红茶)
J6zqvp1ll5iGwIFgErEA,A3. Crispy Tofu
JGbabFLkF4M2NOpxCnGh,6. Fresh Papaya Salad
Jpkg4Ga3xXon3LVKCkDG, L7. Eggplant Basil Stir Fry
LO9jEKOO5RaVoBFPqgZJ,NF3. Sen Lek Pad Kee Mao
LwVLm6MKYodSqxitQJIv,9. Thai Beef Salad
NVXANYbTkLdvnWKCsM1H,L4. Thai Fried Rice*
NvsCg7UchxpRW8DGhIgS,Spoon
NwVscAGUI5FLb8JQJ1KL,Boneless Chicken thigh (农场鸡腿肉)
O12wdqNhKQNouDAdazb8,L9. Cashew Stir Fry
Ojuk9IjFiIit0EIjPNn2,NS5. Yellow Curry Chick Noodle
Ph1iuD6ZMX2RGwk6t1fU,27. Ginger Stir Fry
PzIfzxFk3UmMdteEJwum,26. Veggie Stir Fry with Thai Sweet Basil
Q1bUU8lekrZV1qxJsRUn,Braised Egg /古法秘制茶叶蛋
QFslILqbnSoTnLbd7n3O,Ginger Ale
QdrPHTh3XYVKJyBvRAvW,13. Thai Noodle Soup
TENrywbOnc68bYgWhE7F,NF2. Sen Lek Pad Si Ew
U0VmHkQQbACRHJ7NAKiW,Dragonbowl Drink -6. Roselle sour plum tea (洛神红梅茶)
UQX0IadKSjuuEQ2eW42I,28. Thai Basil Prawns Stir-fry
UVDbgXKOqlaybTDAwd1X,Thai Ice Tea
WykbsEzINm8HAabAGj6W,8. Thai Noodle Salad
X2570PzHOyMEJxxX1oFZ,Dragonbowl Side -7.Bean curd / 甜辣扬州干丝
Z6gsa7rvUmdwOuXj15wz,Dragonbowl BOGO -Peach black tea 蜜桃红茶 
Z8MxYt81UEzFOn7zTEXZ,Thai Ice Coffee
ZtZCyLh3F9yiRVRHyrpd,Thai Away School Catering
ZxLzjX4NbGwNQkEAy1t9,L1. Pad Thai*
a0VJT1p6broWnXgLQwnz,Dragonbowl Drink -2. Peach black tea (蜜桃红茶)
a24hKHBxrU2BLiBNdm1o,15. Yellow Curry with Potato
aQcuZ2LsioIHgXclLK9k,Lamb shoulder (草原嫩羊肩肉 ）
b7NQHlENtIBqhocAx84y,Junior bowl Special Catering 
diGszQA4S35yz52F7Lcv,Chopstick
esrrdKEPijGemZ5wzr8Z,White Jasmine Rice
fUEBXJG3q4Z55GUWzWXL,L5Y. Yellow Curry with Potatoes Topped with Crispy Shallots
fa5vCHAyh3Cin0s2U5kk,Vegan (全素豆制品)
g6IUgc3mu23Nl4wHRlvL,18. Pad Si Ew
gnqitYpU3OQkFTL5l9SS,20. Pad Thai
grUI6uccz7HT70dnuQcQ,Fork
hxdLnLg7QbMDRG3Si1L2,Jumbo shrimp (南洋黑虎大虾仁)
iHZ9MVfCz1dGuaMU4W21,"L5R. Red Curry with Bamboo Shoots, Bell Peppers and Basil Leaves"
k1qtVCofuFO4EjWbbmgh,6. Celery Carrot / 传统老北京芹菜
k4g9n3YVONWSwqtPEFiU,DragonBowl  -Two person Jumbo shrimp combo (南洋黑虎大虾仁套餐)
kzHC3M8urQIhobMiq8mK,25. Thai Fried Rice
lAC07dvdlJIfYi18iYns,Peanut Sauce
qMOz9HttNY6El93zuJ9y,24. Fresh Mixed Vegetables in Curry Sauce
r8puhfHsnQzcvTp4vIlw,Coke Zero
rNyGF6mslCqGK3AMqdri,Daily Soup / 是日例汤
rfRW2ppHXeif5lnnqDNk, 14. Green Curry with Eggplant
s2jL8pRHspeV3fBxLFti,Beef brisket （红烧半肥瘦牛腩）1300 ML only 
v2T59WJCtW2aciwTdoZR,R1. Pad Thai Fried Rice (Choice of protein)
vJ3ra0n15psaP7SFWyqu,21. Swimming Rama
vUFCkWuei4bdXKDQmwbx,PADTHAI Combo for 1
vacDKjXXklqNEYHSSL4B,NF4. Tom Yum Fried Noodle
w2Vt4NC8g5hs5fE80sxs,16. Red Curry with Bamboo Shoots
wWsUmxZxsaCrTPS0DuAp,Dragonbowl Main -8. Pistol chicken legs (秘制手枪鸡腿) 1300 ML only 
wdTym30nRQE6ol5SUZpF,Combo for 1
x2toRh7PbaPhZQFcvksN,23. Garlic Vegetables
xFeHlM9dS1RnGtwYB7RU,Dragonbowl Drink -4. Grape black tea (葡萄红茶)
xby6ll05ob0as3UKaIb7,Dragonbowl Drink -1. Original black tea (原味红茶)
yVwW7PMKtNB8i3b0Ba9j,COKE
yX2KI6r1H4mIuVNLSURb,12. Tom Yum Kung
yqdhtjv6ZnsOzuODd8Xt,Dragonbowl Drink -7. Lemonade (柠檬水)
ytMaPmumDWasZSQUroCD,Dragonbowl BOGO -Lemon black tea 柠檬红茶 
zMv5scQBHJsnwuOd0xG4,4. Bean Sprouts / 椒香本地豆芽王
zb3eKmv8B9lR9OJGYeQn,C7. 8 Pcs. Chicken Wings
0OfEjjSTbvMmXCTurX5N,Jumbo shrimp (南洋黑虎大虾仁)
0iCRF39KIuofmQ8Xf4fu,10. Cabbage / 怪味台湾高丽菜
1YUswmjDNS3de3aLxpMP,Dragonbowl Side -7.Bean curd / 甜辣扬州干丝
1YrPoQNOZcs8Wv8DQTRa,6. Celery Carrot / 传统老北京芹菜
1cNFsqTFnZterwGhMDfi,Dragonbowl Drink -1. Original black tea (原味红茶)
1ebIevBmLqBpfOIFQu8d,DragonBowl -Two person Alberta beef slice combo (雪花牛套餐)
3YKoWQDKMTsr6zBWZHeb,Mango & Coconut with sago芒椰西米
4GyVuVA1qQMHPB71PNbV,Dragonbowl Drink -3. Lemon black tea (柠檬红茶)
4SFZ6VzugdgukJA8zGLu,Winter Mixed Bowl 白雪甜心
4t3eKU1Py6XW3oBWcNAV,Red Bean Fall Tofu Pudding 秋日红豆小丸子豆花
5PrK285VTGsKtjukPFsv,Sweet Black Sesame Paste with Small Chewy Ball 小丸子芝麻糊
6DiUkcWgV9kLT9uDHczm,Pomelo&mango with sago Drink 杨枝金捞
6bmS7q2MT1bEu4fZ5peq,Dragonbowl Drink -2. Peach black tea (蜜桃红茶)
82wunbH7l2Yq7O7P0N2i,Junior bowl Special Catering 
A1giedRBwUhtGtGgZHPL,Dragonbowl BOGO -Peach black tea 蜜桃红茶 
AjUKfmoPvGx9kFpLQ5XQ,Sweet red bean paste 陈皮红豆汤
CJ8sXIlapSdlcS0aU0H6,Mango crystal jelly 多芒亮晶晶
CbjX9uaMMZJtMNeprKj0,Mango & Sago with coconut soup椰汁芒果西米露
CrVtHYvMC2q7GurZANA0,Mango Coconut with Tofu Pudding 椰芒啵啵甜豆花
CsqrUsWRk6Y8F3V1HYMm,Tom Yam Noodle Soup Bowl 冬阴功汤面
EUzghblQ8k5U2SLYu7BP,Beef Noodle Soup 牛肉金汤面
FQBvqYIMScI6JtDZLv56,Pineapple Fruit Tea 茉香菠萝
GDzKr5KAPPDaAt2vz9mD,Bo Bo Bowl 爆爆碗
GFZLASGHPwKjBKTMOwGz,Pork tenderloin (本地嫩猪里脊)
Gi0hJSZPpUd01kZItfzu,Fruit tea diary 果茶日记
H6K5GynMnB2QO5mA5OeO,Purple Rice & Taro Milk 紫米芋泥鲜奶
IYCvpX0FuobsSdMe2N0V,Dragonbowl Drink -4. Grape black tea (葡萄红茶)
IgmjPSkWGk0OIDLYUVR1,Lamb shoulder (草原嫩羊肩肉 ）
JHR85WOslZedITIBUVFf,Green Grape Tofu Pudding 青青爆珠豆花
JKkgeRKKDJlXpmrlV4p1,Tofu Pudding with Red bean Jelly红豆啵啵甜豆花
JccMSZiL7rA4AIa6uuTs,Oreo Matcha Panna Cotta 奥利奥抹茶冻
KfSmDbA5Q82qUsDnd7Aw,Mango & Coconut with mango jelly芒椰芒果爽
MEjvAN8CqIXyv7njGwD9,1. Shredded Potatoes / 烧烤摊凉拌土豆丝
MU2JLibkQjdiORYK0dDa,Strawberry Milk 草莓牛乳
MyvXKXY4VE7AQXvgLGuL,Passion Fruit Tea 百香果满满
NzkpZ3FzTFnsIC6xawlA,DragonBowl  -Two person Jumbo shrimp combo (南洋黑虎大虾仁套餐)
OcJUu1wXApAvoqZIMYwM,Small Chewy Ball
OrWpWbtRU3PC528nweEs,Oreo Chocolate Iced Crisp 奥利奥冻饼
OxTvh1gUZoHj1YsAZQsW,Cha Siu Bao 叉烧包(2pc)
OzG8kWZkHUtOzcFuNiyJ,Mango Iced Crisp 芒果冻饼
P0CXNXd3yO7exBOumBxs,Mango yakult 养乐多芒芒
PfYzkEHHsoQHeHLp5swz,Dragonbowl Main -8. Pistol chicken legs (秘制手枪鸡腿) 1300 ML only 
QMzQjPlygyHcjBfOTXqK,Chestnut Paste 栗子羹
QWyV3G6vBkFdEiGeEPU5,Mango Sago 多芒西米捞
QYql0F4d5BZ8droV2eVx,HLS - Coconut Jelly 椰果
RDXi7t5RQQBmK0DHWXIb,Matcha Chewy Mixed Sago Coconut Soup 丸丸抹茶西米露
RbZOOej0SGUalfLjl6FX,Braised Egg /古法秘制茶叶蛋
TAVm6rxNLtcwMAJb3RFX,Black sesame paste soup芝麻糊
TTLEp3XmfJG3W7s95BlO,Mango & Coconut with red bean芒椰红豆
U6RGRdaxr7xnsOQQ7E4M,Mango Pudding with Chewy Ball Mango
UA5iOmp5PKq3J5IaaDza,Taro & sago with coconut soup 椰汁芋头西米露
UVonGVSHD8GLDx3XtaTF,Large Size
UWDgw0E6bHigdlIwMN5T,Jumbo Mango chewy ball芒之丸子
UxrbDEvfR6TMt8EspSHm,Vegan (全素豆制品)
Vrh85dagI9cMBWdVmRmi,Daily Soup / 是日例汤
WM97YI6Z8QYge9rK9cDD,Purple Potato & Taro Milk 紫薯香芋鲜奶
WQB9CYsroWnpiDBqjI5T,Snow Pear 轻乳小吊梨
WUdvCmRzX1FTFKUopixa,Dragonbowl BOGO -Black tea 原味红茶 
WXBPInTJoftMQIf9KAjo,Purple Potato Paste 紫薯羹
Ww8lKp0fevoEBXUXfE1h,Dragonbowl Drink -6. Roselle sour plum tea (洛神红梅茶)
Xgao9P6ACivF3Px7hnNE,Mango & pomelo W sago 杨枝金捞
Y3aco0SW4Hn8irhX4Ml3,Black glutinous rice with coconut soup椰汁黑糯米
YA2uXnrwiYncxcF4UB6Y,Mango Mochi 芒果糯米糍
YLZSYnV1e5sBZgZ8B1tv,Black Truffle Siu Mai 黑松露烧卖 (3pc)
YrKpX5uM2r2jeigi7gog,Mulberry Ruby 冷艳女神
ZUTMtFuH41H9WQjjXqzq,Brown sugar ginger jujube Hot tea 女神处方
a5P0mHkNVthgxYB9jIx8,Small Chewy Ball
agIKcHVambPrXZufotnK,Jumbo Mango & pomelo W sago 大杨枝金捞
b8b4ggICYUnMzpTZcC5t,Large Size $1
bER8hRutuiBiHX0R0Hdi,Sponge cake 马拉糕 (2pc)
bFNOmjP6TfZFZBuoKXYB,Meet Green Grape 遇见青提
c3Rlp7h41LwdVNQd2jEP,Black Sesame Coconut Milk 黑芝麻生椰牛乳
cYRxGjkYizC57HcjYQkL,Chicken  Protein Noodle Soup 鸡汤公仔面
caQFrIVs4bw2C67tg9Zu,Golden Eggyolk Lava Buns 奶黄流沙包 (2pc)
crbpLoUTILMA7lMUdDsT,Steamed Beancurd Sheet Rolls 腐皮鲜竹卷 (2pc)
dsq3tx9FGa8Sqcu6wCE5,Pomelo&Mango Sago Soup 杨枝金捞西米露
ea6z2yWGaibum1kGhZov,Taro Chewy Ball
fAlXrTtY5P522xomFMCZ,Sweet Black Sesame Paste with Milk Mochi 鲜奶麻薯芝麻糊
faaEbPsb8JHqoQWwPWYE,Sweet red bean paste with Milk mochi 爆爆红豆鲜奶麻薯
fmSpkJmSi6ZBOCZFa7z1,Spicy Shrimp Noodle Bowl 麻辣海鲜公仔面
g2QdTpBUwlaB3Q6fLrjs,Mango Pudding with Small Chewy Ball
hfiOWYmuAOr1Y2o9Lnv0,Mango Chewy 多芒小丸子
iB4U1JJzZcY49eL7RCWv,Alberta beef slice (阿尔伯塔雪花牛肉片)
iroXNOa3jQNZDCc96RmA,Mystery Garden 神秘花园
juhcsEPfJbycXxeqnICn,Mixed Matcha Panna Cotta 丸丸抹茶冻
l41JqXVlJNhhnjKbYCns,Grass jelly with Coconut soup & Mixed taro ball 大满贯
lgQ7nNDNNGq2AL7ccWeS,Mango slush with crystal jelly粒粒芒水晶晶
nauC59E9U0JqD2fNMGdP,Mini Sausage Roll 迷你腊肠卷 (3pc)
ncOcE7qCZk0Sen6oRWhy,Dragonbowl BOGO -Lemon black tea 柠檬红茶 
nnW6xLNCmdLBooANAvA7,Mango & Coconut with black glutinous rice芒椰黑糯米
oMIQE3QnTdmLl99OdHUN,Hot Pistachio Paste 开心果糊
oUNN6XgrnBUmHA4vWnvL,Taro Chewy Ball
odr129nKVHwoSkZWWPiF,Dragonbowl Main -9. Beef Shank (龍肴秘制牛腱子) 1300 ML only 
oo2lUa5NI7XCU9YRW3f5,Taro Sago Milk Cup 香芋西米牛乳
pobSuG1SwXKzk07nUW6j,Fresh Sago Milk Cup 西米冰牛乳
qDSarvbBvkOnuD7SgPpQ,Ginger Brown Sugar Tofu Pudding 原味豆花
qYOk5VXpmj5Dbxjbj7aK,Beef brisket （红烧半肥瘦牛腩）1300 ML only 
qr32Ec1Ah6bmPsmbiAJW,Mango slush with mango jelly粒粒芒芒果爽
qwKxvQlozTu7wUSdxOry,Taro Chewy Mixed Coconut Soup 满芋西米露
rTXAS3trPKZsMHqXbimo,Curry Fish Ball 咖喱鱼丸
rpkBF1mIVPU7EdUrH238,Jasmine Flower 遇见茉莉
s7IyOC2ATGJfetepTHFd,Sweet Pumpkin Paste 南瓜羹
sTlryPsm8XaM42IAOmqv,Tofu Pudding with mixed Taro Ball 爆爆桃胶芒果豆花
tkQsESVacjnkNTx0KaBS,Mango delightful trio 多芒鸳鸯黑糯米
uSiHqB7qTdClOtcS5MuW,Matcha Strawberry Milk Cup 抹茶莓莓牛乳
wfI3icPIKjaC13aHYC8C,Dragonbowl Drink -7. Lemonade (柠檬水)
wkTlyrOk101fgILZX7mo,Hui Lau Shan School Catering
x3EqXyfhZs9nmY380kB5,4. Bean Sprouts / 椒香本地豆芽王
xulPme65Oaop4ggtFNuD,Dragonbowl Drink -5. Lychee black tea (荔枝红茶)
y8anA0ObYt2b6Uz22t0o,Taro & Chewy Ball Tofu Pudding 芋泥小丸子豆花
yqs6PJcNZlPKGlewDixe,Matcha Sago Milk Cup 抹茶西米牛乳
z7tJgiC3iifsdzCp5TTx,Boneless Chicken thigh (农场鸡腿肉)
zM3PqM4Pta55qdiuXLBN,Dragonbowl Side -8. Woodear mushroom/酱拌特级云耳
1Uu3yvEX9TQhz2aB2M2I,Grilled Onion Cheese Burger & Soda
1w1LcbXdAbTHvfpvIzaf,Diet Coke (355 mL)
4UzyeV0eWBAl3ipDRJJN,Jumbo shrimp (南洋黑虎大虾仁)
5FWkjr92Rw22W1KkUIhk,6. Celery Carrot / 传统老北京芹菜
72hRw7yLCukXcyOivt8u,Alberta beef slice (阿尔伯塔雪花牛肉片)
8lz4ruG29WENgcGP13MQ,Dragonbowl Drink -1. Original black tea (原味红茶)
90D11yQhgsvhjKoSWtWK,Dragonbowl Drink -3. Lemon black tea (柠檬红茶)
9KD1kdB3DhkEj1zMqBj9,Dragonbowl Drink -4. Grape black tea (葡萄红茶)
BixTSDdn1vlZyMtGGGQV,Grilled Onion Cheese Burger Combo
C9aXqfVi5stHF23Tm9H4,Burger
Fa0hPLqHyDedumLn2HUY,Junior bowl Special Catering 
KhUBOihHB4cKpRBRM9HT,Dragonbowl Side -7.Bean curd / 甜辣扬州干丝
OyaSaZbsp5iQbUWgEY5P,Coke (355 mL)
PDQMcRgrjdBi97iyHeZm,Dragonbowl Main -8. Pistol chicken legs (秘制手枪鸡腿) 1300 ML only 
QJXCRQyHUv6lYzhAQRik,Grilled Onion Cheese Burger 
R8xDXf1SAhlGJ9i0vAjx,Betty's Burger 
SkMqunG7vEeIxMcyR92u,Dragonbowl BOGO -Peach black tea 蜜桃红茶 
UQ6GaLfSQj9zMuMiAy9x,Pork tenderloin (本地嫩猪里脊)
Udh8hd5Wr6siKAiUiSiV,Bowl Of Fries
ZcGJmHP7iIP4bhY40QHQ,10. Cabbage / 怪味台湾高丽菜
ZsNI7Vc9pgk8t85eqwvd,Daily Soup / 是日例汤
aOpNBdWCPcidgCmwA3sz,4. Bean Sprouts / 椒香本地豆芽王
aV15M3CpkVrPQH0rxjNK,Betty's Burger Sauce 
aqYbQY2zbf34sxcu5DVx,Dragonbowl Side -8. Woodear mushroom/酱拌特级云耳
bZZAcoQYWiGImTKcudJE,Cheeseburger
c5itLCslJVB55y41bdPL,1. Shredded Potatoes / 烧烤摊凉拌土豆丝
dtC0JMUxIdkeZFaFe5Qa,Dragonbowl Drink -5. Lychee black tea (荔枝红茶)
hgcVUkA86a0z6MU3aP53,Braised Egg /古法秘制茶叶蛋
k17YfoTQEuGr8W4EkWwY,Bacon Cheeseburger & Soda
kXEjDmmdskDTZT2eatlS,Dragonbowl Drink -6. Roselle sour plum tea (洛神红梅茶)
mI4gtv1IKbJWJXwmqTJd,Boneless Chicken thigh (农场鸡腿肉)
n5UxAQu7uTw1KnETfcLr,Bacon Cheeseburger
qRJpj2jgsaE4qsTwA3D0,Dragonbowl Main -9. Beef Shank (龍肴秘制牛腱子) 1300 ML only 
qbgvmijTg1U2OoUzgjlQ,Dragonbowl BOGO -Black tea 原味红茶 
rsLv0Ym2wb3aIoB72M7y,Beef brisket （红烧半肥瘦牛腩）1300 ML only 
rw05GJ62WZzCZjJRKjrR,Bacon Cheeseburger Combo
sAoOjuU6nA8Iu9L5vBWI,Dragonbowl Drink -2. Peach black tea (蜜桃红茶)
v0erR3QSO8UT5chvMIsX, Coke Zero (355 mL)
wydIr0ZDR66VPBJDt0Cm,DragonBowl  -Two person Jumbo shrimp combo (南洋黑虎大虾仁套餐)
wz35HSZ6Pg3BsJdg61Ak,DragonBowl -Two person Alberta beef slice combo (雪花牛套餐)
xclykevHJw8k3DWMga7n,Dragonbowl BOGO -Lemon black tea 柠檬红茶 
xl2p0MVmf8y0yPcKwYm5,Dragonbowl Drink -7. Lemonade (柠檬水)
xlvBatzRaRWdEibIhesT,Vegan (全素豆制品)
xqugKYYraoF9yKFA3Yr1,Lamb shoulder (草原嫩羊肩肉 ）
zdJ6gOT8ig8seMt1Ay2E,Bowl Of Peri Peri Fries
1ahW966jOCz6P5Zqjt7A,Biryani Rice Bowls
1z3GkxUnZmH6qIBDA4sf,Dragonbowl Drink -2. Peach black tea (蜜桃红茶)
2WvdnVhIiNEmvjzTcklL,4. Bean Sprouts / 椒香本地豆芽王
3tI6q23TPi21u10dYstE,Butter Chicken Pack - Serves 6 
3vFJGTBpn8kTnM3fQEWj,Dragonbowl BOGO -Black tea 原味红茶 
