,Flax Seeds,Vitamin Bar LG Shot,Prawns,Gatorade Zero,AAA Certified Angus Beef,Fresh Squeezed Juice,Bubly Carbonated Drink,Crunch Salad,Extra Sauce,Barbie Smoothie,Prime - Hydration Drink,Kaizen Protein,Regular Goodbowl,Signature Chicken Goodbowl,Chocolate Banana,Signature AAA Certified Angus Beef Goodbowl,Jasmine Rice,Large Goodbowl,Mango Magic,Peanut Butter,Kids Goodbowl,Jasberry Organic Superfood Rice,Gatorade G2,ZOA Zero Sugar Energy Drink,Good Energy Bites,Beyond Meat,Regulatory Bag Fee,EARTH Water,Noodles,Pop - Can,Spinach,Lemon Ginger Shot,Kuterra Salmon,Sakura Premium Pork,Kale,Antioxidant (Pomegranate) Shot,Cove Probiotic Soda,Free Run Egg,Goodbowl Reusable Water/Juice Bottle 500ml,Organic Coconut Water,Green Machine,Smart Water,Pop - Bottle,Aquafina Bottled Water,9oz Juice and Energy Bite,Chia Seeds,Vitamin Bar Apples/Peanut Butter,Vitamin Bar Juice,Good Berry,Harvest Blend Rice,Lemon Ginger Shot - Lemon Ginger Shot,Free Run Chicken,Fresh Cut Pineapple Cup,Vitamin Water,The Classic,Vitamin Bar Salad,Organic Tofu,Signature Organic Tofu Goodbowl (Vegetarian),Vegetarian Superfood Bowl
Flax Seeds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamin Bar LG Shot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prawns,0,0,0,0,0,3,0,0,1,0,0,0,14,0,1,0,0,6,1,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0
Gatorade Zero,0,0,0,0,0,10,7,1,1,0,11,0,127,2,5,2,1,82,3,0,24,0,1,3,3,0,0,0,1,25,0,1,0,0,0,0,6,5,0,5,4,0,0,12,0,0,0,0,1,0,0,2,0,2,9,0,0,2,0
AAA Certified Angus Beef,0,0,0,0,0,0,0,0,2,0,0,0,19,0,0,0,1,11,2,0,1,0,1,0,0,0,0,0,1,5,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0
Fresh Squeezed Juice,0,0,3,10,0,0,8,7,3,0,1,2,404,6,18,3,1,200,48,0,114,0,0,0,17,1,0,0,1,20,0,8,1,0,0,1,6,19,0,7,37,0,0,10,0,0,0,0,30,0,1,0,1,0,13,0,0,3,2
Bubly Carbonated Drink,0,0,0,7,0,8,0,1,0,0,2,0,191,2,4,4,0,70,8,0,41,1,0,3,6,0,0,0,0,42,0,1,0,0,0,0,6,4,0,4,4,0,0,12,0,0,0,0,3,0,0,1,0,1,4,0,0,5,1
Crunch Salad,0,0,0,1,0,7,1,0,0,0,2,1,33,2,1,5,1,8,9,0,9,0,0,1,1,0,0,0,1,6,0,0,0,0,0,1,1,0,0,2,10,0,0,7,0,0,0,0,9,0,0,0,1,0,5,0,0,0,1
Extra Sauce,0,0,1,1,2,3,0,0,0,0,0,0,5,0,1,0,4,2,0,0,3,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Barbie Smoothie,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prime - Hydration Drink,0,0,0,11,0,1,2,2,0,0,0,0,52,2,1,0,0,38,2,0,16,0,0,1,0,0,0,1,0,19,0,1,0,0,0,0,3,3,0,2,4,0,0,6,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0
Kaizen Protein,0,0,0,0,0,2,0,1,0,2,0,0,5,0,3,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0
Regular Goodbowl,0,0,14,127,19,404,191,33,5,4,52,5,0,38,286,33,9,995,424,0,622,4,5,37,122,1,0,7,8,1100,0,31,3,2,0,4,171,238,0,79,410,0,3,318,0,0,0,0,316,1,1,15,1,5,248,0,2,20,16
Signature Chicken Goodbowl,0,0,0,2,0,6,2,2,0,0,2,0,38,0,7,32,0,17,10,0,8,1,0,0,1,0,0,0,0,15,0,5,0,0,0,2,2,0,1,3,19,3,0,3,0,0,0,0,12,0,0,0,0,0,6,0,0,19,4
Chocolate Banana,0,0,1,5,0,18,4,1,1,1,1,3,286,7,0,4,1,179,59,1,62,1,0,1,24,0,0,0,1,44,1,5,0,0,0,1,5,19,0,2,38,3,0,14,0,0,0,0,42,0,0,2,0,1,28,0,0,7,5
Signature AAA Certified Angus Beef Goodbowl,0,0,0,2,0,3,4,5,0,0,0,0,33,32,4,0,0,13,10,0,4,0,0,0,1,0,0,0,0,11,0,1,0,0,0,2,3,0,0,1,5,0,0,2,0,0,0,0,8,0,0,0,0,0,5,0,0,15,4
Jasmine Rice,0,0,0,1,1,1,0,1,4,0,0,0,9,0,1,0,0,3,0,0,2,0,0,3,0,0,0,1,2,4,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0
Large Goodbowl,0,0,6,82,11,200,70,8,2,1,38,4,995,17,179,13,3,0,215,0,216,10,4,63,84,0,0,5,33,454,0,45,2,6,0,6,74,193,0,38,172,3,1,170,0,0,0,0,203,2,1,15,4,5,111,0,1,10,4
Mango Magic,0,0,1,3,2,48,8,9,0,0,2,2,424,10,59,10,0,215,0,0,95,1,1,2,13,0,0,0,0,24,1,3,1,0,0,0,10,15,0,0,95,0,0,18,0,0,0,0,110,0,0,1,0,0,75,0,0,7,5
Peanut Butter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kids Goodbowl,0,0,2,24,1,114,41,9,3,0,16,2,622,8,62,4,2,216,95,0,0,0,3,4,30,2,0,0,1,200,0,3,2,0,0,3,35,60,0,11,126,1,1,69,0,0,0,0,63,0,1,6,0,1,76,0,2,3,4
Jasberry Organic Superfood Rice,0,0,1,0,0,0,1,0,0,0,0,0,4,1,1,0,0,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gatorade G2,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,4,1,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
ZOA Zero Sugar Energy Drink,0,0,0,3,0,0,3,1,0,0,1,0,37,0,1,0,3,63,2,0,4,0,1,0,3,0,0,1,0,10,0,1,0,0,0,0,2,3,0,2,1,0,1,4,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Good Energy Bites,0,0,0,3,0,17,6,1,0,0,0,0,122,1,24,1,0,84,13,0,30,0,0,3,0,0,0,0,2,6,0,3,0,0,0,1,1,4,0,1,14,0,0,4,0,0,0,0,13,0,1,1,1,0,9,0,0,2,2
Beyond Meat,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Regulatory Bag Fee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EARTH Water,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noodles,0,0,0,1,1,1,0,1,2,0,0,0,8,0,1,0,2,33,0,0,1,1,0,0,2,0,0,0,0,8,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0
Pop - Can,0,0,2,25,5,20,42,6,3,0,19,0,1100,15,44,11,4,454,24,0,200,0,1,10,6,0,0,0,8,0,0,5,0,0,0,0,36,45,0,13,17,3,0,72,0,0,0,0,27,2,0,4,1,0,35,0,0,6,2
Spinach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lemon Ginger Shot,0,0,0,1,0,8,1,0,0,0,1,0,31,5,5,1,0,45,3,0,3,0,0,1,3,0,0,1,0,5,0,0,1,0,0,2,1,7,0,3,17,0,1,2,0,0,0,0,2,0,0,0,0,1,5,0,0,0,1
Kuterra Salmon,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sakura Premium Pork,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioxidant (Pomegranate) Shot,0,0,0,0,0,1,0,1,0,0,0,0,4,2,1,2,0,6,0,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,1,1
Cove Probiotic Soda,0,0,0,6,1,6,6,1,0,0,3,0,171,2,5,3,1,74,10,0,35,1,0,2,1,1,0,0,0,36,0,1,0,0,0,0,0,5,0,8,6,0,0,16,0,0,0,0,6,0,0,0,0,0,1,0,0,2,4
Free Run Egg,0,0,2,5,0,19,4,0,0,0,3,0,238,0,19,0,2,193,15,0,60,3,2,3,4,0,0,1,5,45,0,7,1,2,0,0,5,0,0,7,10,0,0,10,0,0,0,0,18,0,0,5,0,2,10,0,0,0,3
Goodbowl Reusable Water/Juice Bottle 500ml,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic Coconut Water,0,0,0,5,0,7,4,2,0,0,2,0,79,3,2,1,1,38,0,0,11,1,0,2,1,0,0,0,0,13,0,3,0,0,0,0,8,7,0,0,3,0,0,6,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1
Green Machine,0,0,2,4,1,37,4,10,0,0,4,9,410,19,38,5,0,172,95,0,126,1,0,1,14,0,0,0,0,17,1,17,0,0,0,1,6,10,0,3,0,0,0,14,0,0,0,0,71,1,0,3,1,0,48,0,1,6,8
Smart Water,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pop - Bottle,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aquafina Bottled Water,0,0,0,12,1,10,12,7,0,0,6,0,318,3,14,2,0,170,18,0,69,1,0,4,4,0,0,1,0,72,0,2,0,0,0,1,16,10,0,6,14,0,1,0,0,0,0,0,17,0,1,1,1,0,12,0,0,0,2
9oz Juice and Energy Bite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chia Seeds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamin Bar Apples/Peanut Butter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamin Bar Juice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Good Berry,0,0,2,1,1,30,3,9,1,0,1,4,316,12,42,8,0,203,110,0,63,0,0,1,13,0,0,0,2,27,0,2,0,0,0,2,6,18,0,2,71,0,0,17,0,0,0,0,0,0,0,3,2,0,54,0,2,4,2
Harvest Blend Rice,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Lemon Ginger Shot - Lemon Ginger Shot,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Free Run Chicken,0,0,0,2,2,0,1,0,0,0,0,0,15,0,2,0,3,15,1,0,6,0,0,1,1,0,0,0,3,4,0,0,0,0,0,0,0,5,0,0,3,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1
Fresh Cut Pineapple Cup,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
Vitamin Water,0,0,0,2,0,0,1,0,0,0,0,0,5,0,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Classic,0,0,1,9,0,13,4,5,0,0,3,2,248,6,28,5,0,111,75,1,76,0,1,1,9,0,0,0,1,35,0,5,0,0,0,1,1,10,0,2,48,0,0,12,0,0,0,0,54,0,0,0,1,1,0,0,1,1,4
Vitamin Bar Salad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Organic Tofu,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
Signature Organic Tofu Goodbowl (Vegetarian),0,0,0,2,0,3,5,0,0,0,2,0,20,19,7,15,0,10,7,0,3,0,0,0,2,1,0,0,0,6,0,0,0,0,0,1,2,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,1
Vegetarian Superfood Bowl,0,0,0,0,0,2,1,1,0,0,0,0,16,4,5,4,0,4,5,0,4,0,0,0,2,0,0,0,0,2,0,1,1,0,0,1,4,3,0,1,8,0,0,2,0,0,0,0,2,0,0,1,0,0,4,0,0,1,0
